case_id,design_label,support_class,rated_power_mw,water_depth_m,boundary_layer,component_id,component_name,material_group,mass_kg,inventory_role,evidence_status,source_id,source_locator,derivation,notes,material_proxy_depth_status,associated_engineering_model_depth_m
monopile_15mw,IEA 15 MW monopile,bottom_fixed_monopile,15,30,core_substructure,mp_foundation,Monopile foundation including reported allowances,steel,1318000,burdened_material,proxy,NREL75698,Table ES-1 and Section 4,reported mass mapped to a steel proxy,Mass contains a 100 t transition piece and 7 percent outfitting allowance whose material splits are not reported; scour protection is excluded
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200,core_substructure,vs_hull,Platform hull structural steel,steel,3914000,burdened_material,direct,NREL76773,Table 2,reported mass,Corrects the rejected-manuscript residual mapping
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200,core_substructure,vs_fixed_ballast,Fixed iron-ore-concrete ballast,concrete,2540000,burdened_material,proxy,NREL76773,Table 2,reported mass with generic concrete material proxy,Distinct from operating seawater ballast
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200,station_keeping,vs_chain,Three R3 studless chain lines,steel,1746750,burdened_material,source_derived,NREL76773,Table 6,3 lines x 850 m x 685 kg/m,Anchors excluded because no source-explicit mass is reported
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200,core_substructure,wc_concrete,Published substructure concrete,concrete,11480000,burdened_material,direct,COREWIND_D1_3,Table 5-5,reported concrete mass,Reinforcement and post-tensioning steel are not separately quantified and are treated as an omission sensitivity
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200,core_substructure,wc_solid_ballast,Solid aggregate ballast,aggregate,25070000,burdened_material,direct,COREWIND_D1_3,Table 5-5 and Section 5.1,reported ballast mass and stated solid aggregate identity,Corrects the rejected-manuscript mapping of all ballast to concrete
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200,station_keeping,wc_chain,Three catenary chains with crowfoot branches,steel,1119693.75,burdened_material,source_derived,COREWIND_D1_3,Tables 5-6 and 5-7,3 x (565 m + 2 x 50 m) x 561.25 kg/m,Anchors excluded
activefloat_15mw,COREWIND ActiveFloat concrete semisubmersible,concrete_semisubmersible,15,,core_substructure,af_concrete,50 MPa concrete volume converted at central density,concrete,20400000,burdened_material,source_derived,ORE_CFA_2022,Table 11,8500 m3 x 2400 kg/m3,Material-proxy depth is not specified; density is sampled from 2300 to 2500 kg/m3,not_specified,200
activefloat_15mw,COREWIND ActiveFloat concrete semisubmersible,concrete_semisubmersible,15,,core_substructure,af_rebar,Reinforcing steel,steel,2550000,burdened_material,direct_with_unit_clarification,ORE_CFA_2022,Table 11,2550 interpreted as tonnes despite a conflicting kg header,Material-proxy depth is not specified; the unit interpretation remains an audit caveat,not_specified,200
activefloat_15mw,COREWIND ActiveFloat concrete semisubmersible,concrete_semisubmersible,15,,station_keeping,af_chain_d13,Three preliminary catenary chain lines,steel,1033822.5,burdened_material,source_derived,COREWIND_D1_3,ActiveFloat mooring table,3 x 614 m x 561.25 kg/m,The 200 m value belongs to the associated engineering model and is not assigned to the material proxy,not_specified,200
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103,core_substructure,tlp_platform_steel,Platform structural steel,steel,2560000,burdened_material,direct,FRONTIERS_TLP_2026,Section 2.3.1.2 and Table 6,reported mass,Published design uses the IEA 15 MW turbine
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103,core_substructure,tlp_fixed_ballast,Fixed concrete ballast,concrete,1626810,burdened_material,direct,FRONTIERS_TLP_2026,Section 2.3.1.2 and Table 6,reported mass,Fixed ballast only
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103,station_keeping,tlp_tendons,Nine carbon-fibre rope tendons,cfrp,10486.9026,burdened_material,source_derived,FRONTIERS_TLP_2026,Table 7,9 x 79.809 m x 14.6 kg/m,Anchors excluded; rope-level GWP uses a composite proxy
