case_id,design_label,support_class,rated_power_mw,water_depth_m,boundary_layer,component_id,component_name,material_group,mass_kg,inventory_role,evidence_status,source_id,source_locator,derivation,notes,material_proxy_depth_status,associated_engineering_model_depth_m,material_gwp_kgco2_per_kg,material_production_gwp_kgco2,share_of_case_proxy
monopile_15mw,IEA 15 MW monopile,bottom_fixed_monopile,15,30.0,core_substructure,mp_foundation,Monopile foundation including reported allowances,steel,1318000.0,burdened_material,proxy,NREL75698,Table ES-1 and Section 4,reported mass mapped to a steel proxy,Mass contains a 100 t transition piece and 7 percent outfitting allowance whose material splits are not reported; scour protection is excluded,,,2.47,3255460.0000000005,1.0
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200.0,core_substructure,vs_hull,Platform hull structural steel,steel,3914000.0,burdened_material,direct,NREL76773,Table 2,reported mass,Corrects the rejected-manuscript residual mapping,,,2.47,9667580.0,0.6782269891618625
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200.0,core_substructure,vs_fixed_ballast,Fixed iron-ore-concrete ballast,concrete,2540000.0,burdened_material,proxy,NREL76773,Table 2,reported mass with generic concrete material proxy,Distinct from operating seawater ballast,,,0.10714285714285714,272142.8571428571,0.01909212342922498
volturnus_15mw,VolturnUS-S steel semisubmersible,steel_semisubmersible,15,200.0,station_keeping,vs_chain,Three R3 studless chain lines,steel,1746750.0,burdened_material,source_derived,NREL76773,Table 6,3 lines x 850 m x 685 kg/m,Anchors excluded because no source-explicit mass is reported,,,2.47,4314472.5,0.30268088740891247
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200.0,core_substructure,wc_concrete,Published substructure concrete,concrete,11480000.0,burdened_material,direct,COREWIND_D1_3,Table 5-5,reported concrete mass,Reinforcement and post-tensioning steel are not separately quantified and are treated as an omission sensitivity,,,0.10714285714285714,1230000.0,0.2981090027994829
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200.0,core_substructure,wc_solid_ballast,Solid aggregate ballast,aggregate,25070000.0,burdened_material,direct,COREWIND_D1_3,Table 5-5 and Section 5.1,reported ballast mass and stated solid aggregate identity,Corrects the rejected-manuscript mapping of all ballast to concrete,,,0.0052,130364.0,0.03159567645605836
windcrete_15mw,COREWIND WindCrete concrete spar,concrete_spar,15,200.0,station_keeping,wc_chain,Three catenary chains with crowfoot branches,steel,1119693.75,burdened_material,source_derived,COREWIND_D1_3,Tables 5-6 and 5-7,3 x (565 m + 2 x 50 m) x 561.25 kg/m,Anchors excluded,,,2.47,2765643.5625,0.6702953207444587
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103.0,core_substructure,tlp_platform_steel,Platform structural steel,steel,2560000.0,burdened_material,direct,FRONTIERS_TLP_2026,Section 2.3.1.2 and Table 6,reported mass,Published design uses the IEA 15 MW turbine,,,2.47,6323200.000000001,0.9468879315855008
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103.0,core_substructure,tlp_fixed_ballast,Fixed concrete ballast,concrete,1626810.0,burdened_material,direct,FRONTIERS_TLP_2026,Section 2.3.1.2 and Table 6,reported mass,Fixed ballast only,,,0.10714285714285714,174301.07142857142,0.026101274828905712
tlp_15mw,Novel 15 MW carbon-tendon TLP,tension_leg_platform,15,103.0,station_keeping,tlp_tendons,Nine carbon-fibre rope tendons,cfrp,10486.9026,burdened_material,source_derived,FRONTIERS_TLP_2026,Table 7,9 x 79.809 m x 14.6 kg/m,Anchors excluded; rope-level GWP uses a composite proxy,,,17.2,180374.72471999997,0.027010793585593506
